Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,NumberOfBedrooms,Acquisition Date,Disposal Date,Assistance Type,Property Source,Targeted,Target Group,Has Nomination Rights,Nomination Rights -Name,Nomination Rights -ABN,Sublet to Name,Sublet to ABN,Sublet Date,Disability Modifications,Dwelling Type,Class,Condition Surveyed,Met standards,Smoke alarm tested,Smoke alarm tested and in working order,Overdue Reason,Availability Status,FaCS Program,NRAS Funded,MarketRent,Method for determining Market Rent (NRAS),Boarding units or room,Number of Tenancies at full capacity,Number Rooms Untenantable,Program,AssetType,Branch,full_address,lat,lon,google_maps_link
5284,24,15-19,Wallace Street,Swansea,2281,Lake Macquarie,2,2011-12-12,,General Housing,Capital,No,,No,,,,,,,Unit,Class 1a,,,2023-08-04,2023-08-04,,Tenantable,,No,450.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Lake Macquarie,"15-19 Wallace Street, Swansea, 2281, Australia",-33.0915489,151.6341669,"https://www.google.com/maps/search/?api=1&query=15-19+Wallace+Street,+Swansea,+2281,+Australia"
5287,,28,Banks Street,Raymond Terrace,2324,Port Stephens,3,2012-01-20,,Affordable Housing,Owned,No,,No,,,,,,,House,Class 1a,,,2023-12-20,2023-12-20,,Tenantable,DE2,No,373.0,NRAS Compliance,,,,Compass Affordable Properties Ex NRAS programs,Leveraged Affordable,Operations East Maitland,"28 Banks Street, Raymond Terrace, 2324, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+Banks+Street,+Raymond+Terrace,+2324,+Australia"
5288,,2,Brown Street,Raymond Terrace,2324,Port Stephens,3,2012-01-20,,Affordable Housing,Owned,No,,No,,,,,,,House,Class 1a,,,2023-09-19,2023-09-19,,Tenantable,,No,373.0,NRAS Compliance,,,,Compass Affordable Properties Ex NRAS programs,Leveraged Affordable,Operations East Maitland,"2 Brown Street, Raymond Terrace, 2324, Australia",-32.7592052,151.7619009,"https://www.google.com/maps/search/?api=1&query=2+Brown+Street,+Raymond+Terrace,+2324,+Australia"
5289,1,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),1,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Townhouse,Class 1a,,,2023-09-11,2023-09-11,,Tenantable,COMPS2P11,No,250.0,Other,,,,Asset Ownership - Leveraged,Leveraged Social,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5290,2,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),1,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,Adaptable,Townhouse,Class 1a,,,2024-04-12,2024-04-12,,Tenantable,COMPS2P11,No,320.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5291,3,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),1,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Townhouse,Class 1a,,,2023-06-05,2023-06-05,,Tenantable,COMPS2P11,No,250.0,Other,,,,Asset Ownership - Leveraged,Leveraged Social,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5292,4,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),1,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Townhouse,Class 1a,,,2023-02-24,2023-02-24,,Tenantable,COMPS2P11,No,250.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5293,5,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),2,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Townhouse,Class 1a,,,2023-09-11,2023-09-11,,Tenantable,COMPS2P11,No,310.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5294,6,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),2,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Unit,Class 1a,,,2024-02-21,2024-02-21,,Tenantable,COMPS2P11,No,400.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5295,7,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),2,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Unit,Class 1a,,,2023-09-12,2023-09-12,,Tenantable,COMPS2P11,No,280.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
