full_address,lat,lon
"21 Burlington Close, Cameron Park, 2285, Australia",-32.9177057,151.6207856
"9 Vincent Avenue, Sippy Downs, 4556, Australia",-26.7298423,153.0776361
"4 Benendarah Way, Tullimbar, 2527, Australia",,
"1 Dresden Street, Bald Hills, 4036, Australia",-27.3182607,153.0145141
"34 Howard Ave, Dubbo, 2830, Australia",-32.2448805,148.5865739
"657 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046
"661 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046
"668 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046
"672 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046
"674 McGowen Street, Broken Hill, 2880, Australia",-31.9390856,141.4722046
"37 Nicholls Street, Broken Hill, 2880, Australia",-31.9649261,141.4396279
"611 O'Neill Street, Broken Hill, 2880, Australia",-31.9361366,141.4689704
"329 Williams Street, Broken Hill, 2880, Australia",-31.9585594,141.4428178
"18 Crinoline Street, Denman, 2328, Australia",-32.3878303,150.6901208
"13 Martindale Street, Denman, 2328, Australia",-32.3824976,150.6879075
"2 Fairleigh Street, Glendale, 2285, Australia",-32.9281579,151.6406269
"8 Poyner Avenue, Glendale, 2285, Australia",-32.9295687,151.6465189
"8 Figtree Place, Hamilton, 2303, Australia",,
"10 Hexham Street, Kahibah, 2290, Australia",-32.9628867,151.7135638
"10 Hexham Street, Kahibah, 2290, Australia",-32.9628867,151.7135638
"38 Maree Blvd, Killarney Vale, 2261, Australia",-33.3752314,151.4574245
"7 Durham Road, Lambton, 2299, Australia",-32.9164233,151.7174261
"2 Rees Way, Lambton Gardens, 2299, Australia",,
"61 Balarang Street, Maryland, 2287, Australia",-32.8705262,151.6514207
"20 Anzac Parade, Muswellbrook, 2333, Australia",-32.2741837,150.8808337
"27 Anzac Parade, Muswellbrook, 2333, Australia",-32.2741837,150.8808337
"141 Wollombi Road, Muswellbrook, 2333, Australia",-32.2761483,150.8745421
"12 Bingle Street, Scone, 2337, Australia",-32.0544615,150.8765973
"18 Bingle Street, Scone, 2337, Australia",-32.0544615,150.8765973
"26 Stafford Street, Scone, 2337, Australia",-32.0512991,150.876223
"20 Kenny Close, Swansea, 2281, Australia",-33.0977822,151.6300499
"12 Aldwick Close, Tarro, 2322, Australia",-32.8100851,151.6556211
"1 Aldwick Close, Tarro, 2322, Australia",-32.8100851,151.6556211
"8 Aldwick Close, Tarro, 2322, Australia",-32.8100851,151.6556211
"14 Western Avenue, Tarro, 2322, Australia",-32.810089,151.6583465
"2 Somerset Drive, Thornton, 2322, Australia",-32.7782763,151.65255
"116 Eastern Road, Tumbi Umbi, 2261, Australia",-33.3696195,151.4499813
"18 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"19 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"21 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"25 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"26 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"4 Northumberland Way, Tumbi Umbi, 2261, Australia",-33.3752245,151.4561033
"57 Stapleton Street, Wallsend, 2287, Australia",-32.8976814,151.6791074
"39 Warners Bay Road, Warners Bay, 2282, Australia",-32.9833462,151.6543949
"32 Anzac Parade, Muswellbrook, 2333, Australia",-32.2741837,150.8808337
"8 Anzac Parade, Muswellbrook, 2333, Australia",-32.2741837,150.8808337
"31 Skellatar Street, Muswellbrook, 2333, Australia",-32.2729945,150.8857677
"33 Mitchell Street, Muswellbrook, 2333, Australia",-32.2692401,150.8847586
"26 Coorabin Street, Gorokan, 2263, Australia",-33.260667,151.5007801
"17 Tindale Street, Muswellbrook, 2333, Australia",-32.2737441,150.8826497
"92 Christo Road, Waratah, 2298, Australia",-32.9106523,151.7266042
"321 Fitzroy Street, Dubbo, 2830, Australia",-32.2529045,148.6127962
"15 Dunheved Street, Dubbo, 2830, Australia",,
"30 Hayden Brook Road, Booragul, 2284, Australia",-32.9807804,151.6065652
"3 Eskdale Street, New Lambton, 2305, Australia",,
"8 Peter Street, Rutherford, 2320, Australia",-32.7131032,151.5329724
"2 Doncaster Ave, Dubbo, 2830, Australia",-32.2613752,148.6306521
"18 Kitchener Parade, Mayfield, 2304, Australia",-32.8980171,151.7508044
"2 Reef Way, Muswellbrook, 2333, Australia",-32.2755921,150.8768827
"35 Tobruk Avenue, Muswellbrook, 2333, Australia",-32.2760276,150.8784652
"77 Tobruk Avenue, Muswellbrook, 2333, Australia",-32.2760276,150.8784652
"43 Tobruk Avenue, Muswellbrook, 2333, Australia",-32.2760276,150.8784652
"6 Reef Way, Muswellbrook, 2333, Australia",-32.2755921,150.8768827
"5 Clarence Way, Muswellbrook, 2333, Australia",-32.2771373,150.8763408
"1B Tarakan Ave, Muswellbrook, 2333, Australia",-32.2746064,150.8783715
"5 Pacific Way, Muswellbrook, 2333, Australia",-32.2751526,150.8774141
"1 Pacific Way, Muswellbrook, 2333, Australia",-32.2751526,150.8774141
"4 Pacific Way, Muswellbrook, 2333, Australia",-32.2751526,150.8774141
"126 Wollombi Road, Muswellbrook, 2333, Australia",-32.2761483,150.8745421
"6 Jersey Place, Muswellbrook, 2333, Australia",-32.2765009,150.8810529
"118 George Evans, Killarney Vale, 2261, Australia",-33.3738975,151.4620824
